site,date,IGBP,year,year2,ydn,lat,dn,Rs,TA,TS,SWC,VPD,Prcp,GPP_NT,GPP_DT,GPP,Tscalar,GPP_t1,GPP_t2,GPP_t3,group,t,EVI,EVI2,NDVI,LSWI,LSWI_max,Wscalar,w,QC_flag,EVI.AG,EVI.Beck,EVI.Elmore,EVI.Zhang,EVI.whit,GPP_sim,GPP_vpm,LC,APAR,epsilon_eco,epsilon_chl
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,1,2002-01-04,0.0822824599681965,0.0822824599681965,0.0997757847533633,0.646318439269981,0.347802786709539,1.22148318396731,0.2,snow,0.312463687093686,0.317768630560972,0.314971278244575,0.317925508658497,0.307170940538094,0,0,Grassland,4.24319937826891,0.0552359929803011,-2.49407052586988
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,2,2002-01-04,0.0822824599681965,0.0822824599681965,0.0997757847533633,0.646318439269981,0.393154892496709,1.1817195978256,0.2,snow,0.313668163895116,0.317111326527626,0.314058776465601,0.316949770020652,0.313668163895116,0,0,Grassland,4.33295075273387,0.0552359929803011,-2.49407052586988
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,3,2002-01-04,0.0822824599681965,0.0822824599681965,0.0997757847533633,0.646318439269981,0.393154892496709,1.1817195978256,0.2,snow,0.313668163895116,0.317111326527626,0.314058776465601,0.316949770020652,0.313668163895116,0,0,Grassland,4.33295075273387,0.0552359929803011,-2.49407052586988
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,4,2002-01-04,0.135427815585937,0.135427815585937,0.17275800998229,0.490180032733224,0.3832350679313,1.07731510520614,0.2,snow,0.297469930588539,0.308839746587698,0.301033279248677,0.308605451443148,0.302070236448127,0,0,Grassland,4.17273924820138,0.0552359929803011,1.24729096765937
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,5,2002-01-06,-0.026796973518285,-0.026796973518285,-0.0434580525214966,0.684124386252046,0.408964045312757,1.19529266332571,0.2,snow,0.280758607267701,0.284095228685359,0.277022222475154,0.283581200216342,0.273306878594945,0,0,Grassland,3.77540784066085,0.0552359929803011,-0.348500387336678
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,6,2002-01-04,-0.00418137356679818,-0.00418137356679818,-0.00673635307781652,0.636433218522771,0.403690291429557,1.16580789118103,0.2,snow,0.173519781404061,0.18082215899819,0.176578547633624,0.180857756439995,0.162570774437261,0,0,Grassland,2.24572092597194,0.0552359929803011,-0.424152541585644
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,7,2002-01-01,0.0107845392844818,0.0107845392844818,0.0258175559380379,0.58405315614618,0.399886557005105,1.13155823107201,0.2,snow,0.218696759876413,0.219470365493026,0.204763895899216,0.219683263942463,0.210352839690579,0,0,Grassland,2.90577304294666,0.0552359929803011,-0.495304222270912
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,8,2002-01-04,0,0,0,1.63157894736842,0.403378378378378,1.87517421382054,0.2,aerosol,0.139022252737999,0.139022252737999,0.13942730247621,0.139022252737999,0.139022252737999,0,0,Grassland,1.92042624653897,0.0552359929803011,-0.441887943842409
AT-Neu,2002-01-01,GRA,2002,2002,93,47.11667,1,24.557875,-8.399375,-0.184625,,0.6125,0,1.04561925,0.1752115,0.610415375,-0.607803155828149,,,,9,2002-01-04,0.0193121206547729,0.0161987041036717,-0.45985401459854,-3.84615384615385,0.402437354511845,-2.02943385456567,0.2,shadow,0.106770190575532,0.110895127574314,0.110127893387375,0.111424551820469,0.1,0,0,Grassland,1.38138046875,0.0552359929803011,-0.547650957527052
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,1,2002-01-10,0.284817621980104,0.284817621980104,0.39719240297275,0.446153846153846,0.347802786709539,1.0729714023551,0.2,cloud,0.311440432358398,0.31752869709883,0.314744609843804,0.3176901277774,0.307082616894611,0,0,Grassland,6.42309115719319,0.0203135798070029,0.0879291902552005
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,2,2002-01-16,0.291501803284429,0.291501803284429,0.39800796812749,0.338036224976168,0.393154892496709,0.960436080856909,0.2,cloud,0.313668163895116,0.315679001628677,0.313668163895116,0.31551864343987,0.313668163895116,0,0,Grassland,6.56083769957966,0.0203135798070029,0.084860108713784
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,3,2002-01-16,0.291501803284429,0.291501803284429,0.39800796812749,0.338036224976168,0.393154892496709,0.960436080856909,0.2,cloud,0.313668163895116,0.315679001628677,0.313668163895116,0.31551864343987,0.313668163895116,0,0,Grassland,6.56083769957966,0.0203135798070029,0.084860108713784
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,4,2002-01-10,0.284817621980104,0.284817621980104,0.39719240297275,0.446153846153846,0.3832350679313,1.04548668529395,0.2,cloud,0.295144037598934,0.307821993253852,0.2993874872225,0.30757428418269,0.298528403934401,0,0,Grassland,6.24416702864074,0.0203135798070029,0.0879291902552005
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,5,2002-01-16,0.291501803284429,0.291501803284429,0.39800796812749,0.338036224976168,0.408964045312757,0.949659595237688,0.2,cloud,0.272352861931823,0.280820700177967,0.272352861931823,0.280304549185174,0.272352861931823,0,0,Grassland,5.69666650884024,0.0203135798070029,0.084860108713784
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,6,2002-01-16,0.291501803284429,0.291501803284429,0.39800796812749,0.338036224976168,0.403690291429557,0.953227526859557,0.2,cloud,0.165317824356865,0.176326952205905,0.17128840244693,0.176359387102752,0.158513795798134,0,0,Grassland,3.31555257142264,0.0203135798070029,0.084860108713784
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,7,2002-01-16,-0.00438859550315247,-0.00438859550315247,-0.0111627906976744,0.329580988117574,0.399886557005105,0.94977766695757,0.2,cloud,0.203627198318653,0.206491685315982,0.201745291169863,0.206893863750592,0.205125278250785,0,0,Grassland,4.29050127999132,0.0203135798070029,-0.155676621256117
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,8,2002-01-16,-0.00438859550315247,-0.00438859550315247,-0.0111627906976744,0.329580988117574,0.403378378378378,0.947414473959561,0.2,cloud,0.139022252737999,0.139022252737999,0.1392910204134,0.139022252737999,0.139022252737999,0,0,Grassland,2.907857863283,0.0203135798070029,-0.155676621256117
AT-Neu,2002-01-09,GRA,2002,2002,94,47.11667,2,37.184875,-6.92825,-1.145125,,0.650625,0,0.4748643,0.2520395,0.339911066666667,-0.493864146014733,0.610415375,,,9,2002-01-16,-0.00438859550315247,-0.00438859550315247,-0.0111627906976744,0.329580988117574,0.402437354511845,0.948050181236344,0.2,cloud,0.101192796365188,0.103328298725562,0.102426989667368,0.103913501555277,0.1,0,0,Grassland,2.09164921875,0.0203135798070029,-0.155676621256117
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,1,2002-01-20,0.0239898748382078,0.0239898748382078,0.0237138580319861,0.368077489997894,0.347802786709539,1.01504278184337,0.2,cloud,0.310102957637747,0.317255314779769,0.314528460282227,0.317421943149466,0.307082616894611,0,0,Grassland,7.44733883593277,0.00596772186722436,-0.062809757037202
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,2,2002-01-17,0.0758745349238617,0.0758745349238617,0.0952309312471791,0.645569620253164,0.393154892496709,1.18118209907306,0.2,snow,0.313668163895116,0.315596361013657,0.313668163895116,0.315436073045312,0.313668163895116,0,0,Grassland,7.60705090439398,0.00596772186722436,-0.197889552749036
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,3,2002-01-17,0.0758745349238617,0.0758745349238617,0.0952309312471791,0.645569620253164,0.393154892496709,1.18118209907306,0.2,snow,0.313668163895116,0.315596361013657,0.313668163895116,0.315436073045312,0.313668163895116,0,0,Grassland,7.60705090439398,0.00596772186722436,-0.197889552749036
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,4,2002-01-17,0.121476502779708,0.121476502779708,0.16820146588987,0.58087487283825,0.3832350679313,1.14288229780245,0.2,cloud,0.295144037598934,0.306949862142132,0.297993225473225,0.30669057443874,0.296516464304241,0,0,Grassland,7.19108949388793,0.00596772186722436,0.222297714984132
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,5,2002-01-22,-0.0374663763289355,-0.0374663763289355,-0.072988147223955,0.790361445783133,0.408964045312757,1.27069349408821,0.2,snow,0.272352861931823,0.279523633349439,0.272352861931823,0.279006691185193,0.272352861931823,0,0,Grassland,6.60507607448976,0.00596772186722436,-0.0347297835388897
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,6,2002-01-17,-0.015631914115859,-0.015631914115859,-0.0206545916746108,0.775857101699798,0.403690291429557,1.26513456176378,0.2,snow,0.164834981448967,0.176054957128535,0.170969912260592,0.176087191536839,0.157832989839246,0,0,Grassland,3.82775087273859,0.00596772186722436,-0.0412877148171735
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,7,2002-01-17,-0.0558175607921785,-0.0558175607921785,-0.188866799204771,0.577319587628866,0.399886557005105,1.1267481495096,0.2,cloud,0.202994925241105,0.205892850918439,0.201745291169863,0.206304012745506,0.204611515537325,0,0,Grassland,4.96221929248162,0.00596772186722436,-0.0306395342701266
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,8,2002-01-18,-0.00847993339397771,-0.00847993339397771,-0.0254335260115607,0.622714148219442,0.403378378378378,1.15629125631429,0.2,snow,0.139022252737999,0.139022252737999,0.139282809962739,0.139022252737999,0.139022252737999,0,0,Grassland,3.37155464006575,0.00596772186722436,-0.0440097753050844
