site,name,lon,lat,elev,MAT,MAP,IGBP,tier1,tier2,url
AR-SLu,San Luis,-66.4598,-33.4648,,,400,MF,2009-2011,2009-2011,http://sites.fluxdata.org/AR-SLu/
AR-Vir,Virasoro,-56.1886,-28.2395,,,,ENF,2009-2012,2009-2012,http://sites.fluxdata.org/AR-Vir/
AT-Neu,Neustift,11.3175,47.11667,970,6.3,852,GRA,2002-2012,2002-2012,http://sites.fluxdata.org/AT-Neu/
AU-Ade,Adelaide River,131.1178,-13.0769,,,,WSA,2007-2009,2007-2009,http://sites.fluxdata.org/AU-Ade/
AU-ASM,Alice Springs,133.2490,-22.2830,,,,ENF,2010-2013,2010-2014,http://sites.fluxdata.org/AU-ASM/
AU-Cpr,Calperum,140.5891,-34.0021,,,,SAV,2010-2014,2010-2014,http://sites.fluxdata.org/AU-Cpr/
AU-Cum,Cumberland Plain,150.72362,-33.61518,,,,EBF,2012-2014,2012-2014,http://sites.fluxdata.org/AU-Cum/
AU-DaP,Daly River Savanna,131.3181,-14.0633,,27.25,983.78,GRA,2007-2013,2007-2013,http://sites.fluxdata.org/AU-DaP/
AU-DaS,Daly River Cleared,131.3881,-14.1593,,27.22,975.82,SAV,2008-2014,2008-2014,http://sites.fluxdata.org/AU-DaS/
AU-Dry,Dry River,132.3706,-15.2588,,,,SAV,2008-2014,2008-2014,http://sites.fluxdata.org/AU-Dry/
AU-Emr,Emerald,148.4746,-23.8587,,,,GRA,2011-2013,2011-2013,http://sites.fluxdata.org/AU-Emr/
AU-Fog,Fogg Dam,131.3072,-12.5452,,27.02,1323.69,WET,2006-2008,2006-2008,http://sites.fluxdata.org/AU-Fog/
AU-Gin,Gingin,115.7138,-31.3764,,,,WSA,2011-2014,2011-2014,http://sites.fluxdata.org/AU-Gin/
AU-GWW,"Great Western Woodlands, Western Australia, Australia",120.6541,-30.1913,,,,SAV,2013-2014,2013-2014,http://sites.fluxdata.org/AU-GWW/
AU-How,Howard Springs,131.1523,-12.4943,,27.01,1449.35,WSA,2001-2014,2001-2014,http://sites.fluxdata.org/AU-How/
AU-Lox,Loxton,140.6551,-34.4704,,,,DBF,2008-2009,2008-2009,http://sites.fluxdata.org/AU-Lox/
AU-RDF,"Red Dirt Melon Farm, Northern Territory",132.4776,-14.5636,,,,WSA,2011-2013,2011-2013,http://sites.fluxdata.org/AU-RDF/
AU-Rig,Riggs Creek,145.5759,-36.6499,,,,GRA,2011-2014,2011-2014,http://sites.fluxdata.org/AU-Rig/
