

54,IT-MBo,Monte Bondone,11.04583,46.01468,GRA,reference,,"Marcolla, B., Cescatti, A., Manca, G., Zorer, R., Cavagna, M., Fiora, A., Gianelle, D., Rodeghiero, M., Sottocornola, M. and Zampedri, R.: Climatic controls and ecosystem responses drive the inter-annual variability of the net ecosystem exchange of an alpine meadow, Agric. For. Meteorol., 151(9), 1233–1243, 2011."

55,IT-PT1,Parco Ticino forest,9.06104,45.20087,DBF,reference,,"Migliavacca, M., Meroni, M., Busetto, L., Colombo, R., Zenone, T., Matteucci, G., Manca, G. and Seufert, G.: Modeling Gross Primary Production of Agro-Forestry Ecosystems by Assimilation of Satellite-Derived Information in a Process-Based Model, Sensors , 9(2), 922–942, 2009."

56,IT-Ren,Renon,11.43369,46.58686,ENF,,,
57,IT-Ro1,Roccarespampani 1,11.93001,42.40812,DBF,reference,,"Rey, A., Pegoraro, E., Tedeschi, V., De Parri, I., Jarvis, P. G. and Valentini, R.: Annual variation in soil respiration and its components in a coppice oak forest in Central Italy, Glob. Chang. Biol., 8(9), 851–866, 2002."
58,IT-Ro2,Roccarespampani 2,11.92093,42.39026,DBF,reference,,"Tedeschi, V., Rey, A., Manca, G., Valentini, R., Jarvis, P. G. and Borghetti, M.: Soil respiration in a Mediterranean oak forest at different developmental stages after coppicing, Glob. Chang. Biol., 12(1), 110–121, 2006."
59,IT-SR2,San Rossore 2,10.29095,43.73203,ENF,,,
60,IT-SRo,San Rossore,10.28444,43.72786,ENF,reference,,"Chiesi, M., Maselli, F., Bindi, M., Fibbi, L., Cherubini, P., Arlotta, E., Tirone, G., Matteucci, G. and Seufert, G.: Modelling carbon budget of Mediterranean forests using ground and remote sensing measurements, Agric. For. Meteorol., 135(1–4), 22–34, 2005."
61,IT-Tor,Torgnon,7.57806,45.84444,GRA,primary,doi:10.1088/1748-9326/8/2/025008,"Phenology and carbon dioxide source/sink strength of a subalpine grassland in response to an exceptionally short snow season. M. Galvagno, G. Wohlfahrt, E. Cremonese, M. Rossini, R. Colombo, G. Filippa, T. Julitta, G. Manca, C. Siniscalco, U. Morra di Cella and M. Migliavacca. Environmental Research Letters, 2013"
62,JP-MBF,Moshiri Birch Forest Site,142.3186,44.3869,DBF,reference,,"Matsumoto, K., Ohta, T., Nakai, T., Kuwada, T., Daikoku, K., Iida, S., Yabuki, H., Kononov, A. V., van der Molen, M. K., Kodama, Y., Maximov, T. C., Dolman, A. J. and Hattori, S.: Energy consumption and evapotranspiration at several boreal and temperate forests in the Far East, Agric. For. Meteorol., 148(12), 1978–1989, 2008."
63,JP-SMF,Seto Mixed Forest Site,137.0788,35.2617,MF,reference,,"Matsumoto, K., Ohta, T., Nakai, T., Kuwada, T., Daikoku, K., Iida, S., Yabuki, H., Kononov, A. V., van der Molen, M. K., Kodama, Y., Maximov, T. C., Dolman, A. J. and Hattori, S.: Energy consumption and evapotranspiration at several boreal and temperate forests in the Far East, Agric. For. Meteorol., 148(12), 1978–1989, 2008."
64,NL-Hor,Horstermeer,5.0713,52.24035,GRA,reference,,"Jacobs, C. M. J., Jacobs, A. F. G., Bosveld, F. C., Hendriks, D. M. D., Hensen, A., Kroon, P. S., Moors, E. J., Nol, L., Schrier-Uijl, A. and Veenendaal, E. M.: Variability of annual CO2 exchange from Dutch grasslands, Biogeosciences, 4(5), 803–816, 2007."
65,NL-Loo,Loobos,5.74356,52.16658,ENF,reference,,"Moors, E. J.: Water Use of Forests in The Netherlands, PhD-thesis, Vrije Universiteit Amsterdam., the Netherlands, 2012."
66,RU-Fyo,Fyodorovskoye,32.92208,56.46153,ENF,reference,,"Kurbatova, J., Li, C., Varlagin, A., Xiao, X. and Vygodskaya, N.: Modeling carbon dynamics in two adjacent spruce forests with different soil conditions in Russia, Biogeosciences, 5(4), 969–980, 2008."
67,SD-Dem,Demokeya,30.4783,13.2829,SAV,reference,,"Ardö, J., Mölder, M., El-Tahir, B. A. and Elkhidir, H. A. M.: Seasonal variation of carbon fluxes in a sparse savanna in semi arid Sudan, Carbon Balance Manag., 3, 7, 2008."
68,SN-Dhr,Dahra,-15.43222,15.40278,SAV,reference,,"Tagesson, T., Fensholt, R., Guiro, I., Rasmussen, M. O., Huber, S., Mbow, C., Garcia, M., Horion, S., Sandholt, I., Holm-Rasmussen, B., Göttsche, F. M., Ridler, M.-E., Olén, N., Lundegard Olsen, J., Ehammer, A., Madsen, M., Olesen, F. S. and Ardö, J.: Ecosystem properties of semiarid savanna grassland in West Africa and its relationship with environmental variability, Glob. Chang. Biol., 21(1), 250–264, 2015."
69,US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,-99.4200,36.4267,GRA,reference,,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, (), "
70,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,-99.5975,36.6358,GRA,reference,,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, (), "
71,US-ARb,ARM Southern Great Plains burn site- Lamont,-98.0402,35.5497,GRA,reference,,"Fischer, M. L., Torn, M. S., Billesbach, D. P., Doyle, G., Northup, B., Biraud, S. C. (2012) Carbon, Water, And Heat Flux Responses To Experimental Burning And Drought In A Tallgrass Prairie, Agricultural And Forest Meteorology, 166-167(), 169-174"
72,US-ARc,ARM Southern Great Plains control site- Lamont,-98.0400,35.54649,GRA,reference,,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, (), "
73,US-GBT,GLEES Brooklyn Tower,-106.2397,41.36579,ENF,reference,,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 45(2), 9275–9287"
74,US-GLE,GLEES,-106.2399,41.36653,ENF,reference,,"Arain, M. A., Restrepo-Coupe, N. (2005) Net Ecosystem Production In A Temperate Pine Plantation In Southeastern Canada, Agricultural And Forest Meteorology, 128(3-4), 223-241"
75,US-Ha1,Harvard Forest EMS Tower (HFR1),-72.1715,42.5378,DBF,reference,,"Antonarakis, A. S., Siqueira, P., Munger, J. W. (2017) Using Multi-Source Data From Lidar, Radar, Imaging Spectroscopy, And National Forest Inventories To Simulate Forest Carbon Fluxes, International Journal Of Remote Sensing, 38(19), 5464-5486"
76,US-KS2,Kennedy Space Center (scrub oak),-80.6715,28.6086,CSH,reference,,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 207(1), 117-126"
