site,lat,IGBP,LC
AT-Neu,47.11667,GRA,Grassland
BE-Bra,51.30761,MF,Forest
BE-Lon,50.5516,CRO,Cropland
BE-Vie,50.30496,MF,Forest
CA-Man,55.87962,ENF,ENF
CA-NS1,55.87917,ENF,ENF
CA-NS2,55.90583,ENF,ENF
CA-NS3,55.91167,ENF,ENF
CA-NS4,55.91437,ENF,ENF
CA-NS5,55.86306,ENF,ENF
CA-NS6,55.91667,OSH,Shrubland
CA-NS7,56.63583,OSH,Shrubland
CA-Qfo,49.6925,ENF,ENF
CH-Cha,47.21022,GRA,Grassland
CH-Dav,46.81533,ENF,ENF
CH-Fru,47.11583,GRA,Grassland
CH-Lae,47.47808,MF,Forest
CH-Oe2,47.28631,CRO,Cropland
CN-Cha,42.4025,MF,Forest
CN-Cng,44.5934,GRA,Grassland
CN-Dan,30.4978,GRA,Grassland
CN-Du2,42.0467,GRA,Grassland
CN-Ha2,37.6086,WET,Shrubland
CN-HaM,37.37,GRA,Grassland
CN-Qia,26.7414,ENF,ENF
CZ-BK1,49.50213,ENF,ENF
CZ-BK2,49.49443,GRA,Grassland
CZ-wet,49.02465,WET,Shrubland
DE-Akm,53.86617,WET,Shrubland
DE-Geb,51.1001,CRO,Cropland
DE-Gri,50.95004,GRA,Grassland
DE-Hai,51.07917,DBF,Forest
DE-Kli,50.89306,CRO,Cropland
DE-Obe,50.78666,ENF,ENF
DE-RuR,50.62191,GRA,Grassland
DE-RuS,50.86591,CRO,Cropland
DE-Seh,50.87062,CRO,Cropland
DE-SfN,47.80639,WET,Shrubland
DE-Spw,51.89225,WET,Shrubland
DE-Tha,50.96235,ENF,ENF
DK-Sor,55.48587,DBF,Forest
ES-LgS,37.09794,OSH,Shrubland
FI-Hyy,61.84741,ENF,ENF
FI-Jok,60.8986,CRO,Cropland
FI-Lom,67.99724,WET,Shrubland
FI-Sod,67.36239,ENF,ENF
FR-Fon,48.47636,DBF,Forest
FR-Gri,48.84422,CRO,Cropland
IT-CA3,42.38,DBF,Forest
IT-Col,41.84936,DBF,Forest
IT-Isp,45.81264,DBF,Forest
IT-La2,45.9542,ENF,ENF
IT-Lav,45.9562,ENF,ENF
IT-MBo,46.01468,GRA,Grassland
IT-PT1,45.20087,DBF,Forest
IT-Ren,46.58686,ENF,ENF
IT-Ro1,42.40812,DBF,Forest
IT-Ro2,42.39026,DBF,Forest
IT-SR2,43.73203,ENF,ENF
IT-SRo,43.72786,ENF,ENF
IT-Tor,45.84444,GRA,Grassland
JP-MBF,44.3869,DBF,Forest
JP-SMF,35.2617,MF,Forest
NL-Hor,52.24035,GRA,Grassland
NL-Loo,52.16658,ENF,ENF
RU-Fyo,56.46153,ENF,ENF
SD-Dem,13.2829,SAV,Shrubland
SN-Dhr,15.40278,SAV,Shrubland
US-AR1,36.4267,GRA,Grassland
US-AR2,36.6358,GRA,Grassland
US-ARb,35.5497,GRA,Grassland
US-ARc,35.54649,GRA,Grassland
US-GBT,41.36579,ENF,ENF
US-GLE,41.36653,ENF,ENF
US-Ha1,42.5378,DBF,Forest
US-KS2,28.6086,CSH,Shrubland
US-Los,46.0827,WET,Shrubland
US-MMS,39.3232,DBF,Forest
US-Me2,44.4523,ENF,ENF
US-Myb,38.049861,WET,Shrubland
US-NR1,40.0329,ENF,ENF
US-Ne1,41.16506,CRO,Cropland
US-Ne2,41.16487,CRO,Cropland
US-Ne3,41.17967,CRO,Cropland
US-ORv,40.0201,WET,Shrubland
US-PFa,45.9459,MF,Forest
US-Prr,65.12367,ENF,ENF
US-Syv,46.242,MF,Forest
US-Ton,38.4316,WSA,Shrubland
US-Tw4,38.10298,WET,Shrubland
US-Twt,38.1087204,CRO,Cropland
US-UMB,45.5598,DBF,Forest
US-UMd,45.5625,DBF,Forest
US-Var,38.4133,GRA,Grassland
US-WCr,45.8059,DBF,Forest
