site,lat,IGBP
AT-Neu,47.1167,GRA
BE-Bra,51.3092,MF
BE-Lon,50.5516,CRO
BE-Vie,50.3051,MF
CA-Man,55.8796,ENF
CA-NS1,55.8792,ENF
CA-NS2,55.9058,ENF
CA-NS3,55.9117,ENF
CA-NS5,55.8631,ENF
CA-NS6,55.9167,OSH
CA-Qfo,49.6925,ENF
CH-Cha,47.2102,GRA
CH-Dav,46.8153,ENF
CH-Fru,47.1158,GRA
CH-Lae,47.4781,MF
CH-Oe1,47.2858,GRA
CN-Cha,42.4025,MF
CN-Cng,44.5934,GRA
CN-Dan,30.4978,GRA
CN-Din,23.1733,EBF
CN-Du2,42.0467,GRA
CN-Ha2,37.6086,WET
CN-HaM,37.37,GRA
CN-Qia,26.7414,ENF
CZ-BK1,49.5021,ENF
CZ-wet,49.0247,WET
DE-Akm,53.8662,WET
DE-Geb,51.1001,CRO
DE-Gri,50.9495,GRA
DE-Hai,51.0792,DBF
DE-Kli,50.8929,CRO
DE-Obe,50.7836,ENF
DE-RuR,50.6219,GRA
DE-RuS,50.8659,CRO
DE-Seh,50.8706,CRO
DE-SfN,47.8064,WET
DE-Spw,51.8923,WET
DE-Tha,50.9636,ENF
DK-Fou,56.4842,CRO
DK-Sor,55.4859,DBF
ES-LgS,37.0979,OSH
FI-Hyy,61.8475,ENF
FI-Lom,67.9972,WET
FI-Sod,67.3619,ENF
FR-Fon,48.4764,DBF
FR-Gri,48.8442,CRO
FR-LBr,44.7171,ENF
IT-CA1,42.3804,DBF
IT-CA2,42.3772,CRO
IT-CA3,42.38,DBF
IT-Col,41.8494,DBF
IT-Cp2,41.7043,EBF
IT-Cpz,41.7052,EBF
IT-Isp,45.8126,DBF
IT-La2,45.9542,ENF
IT-Lav,45.9562,ENF
IT-MBo,46.0147,GRA
IT-PT1,45.2009,DBF
IT-Ren,46.5869,ENF
IT-Ro1,42.4081,DBF
IT-Ro2,42.3903,DBF
IT-SR2,43.732,ENF
IT-SRo,43.7279,ENF
IT-Tor,45.8444,GRA
JP-MBF,44.3869,DBF
JP-SMF,35.2617,MF
NL-Hor,52.2404,GRA
NL-Loo,52.1666,ENF
RU-Fyo,56.4615,ENF
SD-Dem,13.2829,SAV
SN-Dhr,15.4028,SAV
US-AR1,36.4267,GRA
US-ARM,36.6058,CRO
US-ARc,35.5465,GRA
US-Cop,38.09,GRA
US-GBT,41.3658,ENF
US-GLE,41.3665,ENF
US-Ha1,42.5378,DBF
US-Los,46.0827,WET
US-MMS,39.3232,DBF
US-Me6,44.3233,ENF
US-Myb,38.0498,WET
US-NR1,40.0329,ENF
US-Ne1,41.1651,CRO
US-Ne2,41.1649,CRO
US-Ne3,41.1797,CRO
US-ORv,40.0201,WET
US-PFa,45.9459,MF
US-Syv,46.242,MF
US-Ton,38.4316,WSA
US-Tw1,38.1074,WET
US-Tw3,38.1159,CRO
US-Tw4,38.103,WET
US-Twt,38.1087,CRO
US-UMB,45.5598,DBF
US-UMd,45.5625,DBF
US-Var,38.4133,GRA
US-WCr,45.8059,DBF
US-Wkg,31.7365,GRA
